AKBNK	AKBANK T.A.Ş.
AKSA	AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
AKSEN	AKSA ENERJİ ÜRETİM A.Ş.
ALARK	ALARKO HOLDİNG A.Ş.
ALTNY	ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.
ANSGR	ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ
AEFES	ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.
ARCLK	ARÇELİK A.Ş.
ASELS	ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.
ASTOR	ASTOR ENERJİ A.Ş.
BALSU	BALSU GIDA SANAYİ VE TİCARET A.Ş.
BTCIM	BATIÇİM BATI ANADOLU SANAYİ VE TİCARET A.Ş.
BSOKE	BATIÇİM ÇİMENTO SANAYİ A.Ş.
BERA	BERA HOLDİNG A.Ş.
BIMAS	BİM BİRLEŞİK MAĞAZALAR A.Ş.
BRSAN	BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.
BRYAT	BORUSAN YATIRIM VE PAZARLAMA A.Ş.
CCOLA	COCA-COLA İÇECEK A.Ş.
CVKMD	CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.
CWENE	CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.
CANTE	ÇAN2 TERMİK A.Ş.
CIMSA	ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
DAPGM	DAP GAYRİMENKUL GELİŞTİRME A.Ş.
DSTKF	DESTEK FİNANS FAKTORİNG A.Ş.
DOHOL	DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.
DOAS	DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.
EFOR	EFOR YATIRIM SANAYİ TİCARET A.Ş.
ECILC	EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.
EKGYO	EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
ENJSA	ENERJİSA ENERJİ A.Ş.
ENERY	ENERYA ENERJİ A.Ş.
ENKAI	ENKA İNŞAAT VE SANAYİ A.Ş.
EREGL	EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.
ESEN	ESENBOĞA ELEKTRİK ÜRETİM A.Ş.
EUREN	EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.
EUPWR	EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.
FENER	FENERBAHÇE FUTBOL A.Ş.
FROTO	FORD OTOMOTİV SANAYİ A.Ş.
GSRAY	GALATASARAY SPORTİF SINAİ VE TİCARİ YATIRIMLAR A.Ş.
GENIL	GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.
GESAN	GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.
GRTHO	GRAINTURK HOLDİNG A.Ş.
GUBRF	GÜBRE FABRİKALARI T.A.Ş.
GLRMK	GÜLERMAK AĞIR SANAYİ İNŞAAT VE TAAHHÜT A.Ş.
